Month,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,Total
Jan-1991,1730,13650,28790,108880,2610,9860,11900,177410
Feb-1991,3670,18300,35250,109100,1670,10890,11690,190570
Mar-1991,1990,18610,40060,111670,1650,3690,11510,189180
Apr-1991,2140,20880,33930,96700,2650,4190,7520,168000
May-1991,2870,17810,30210,96510,2550,2830,8630,161400
Jun-1991,10450,18670,33680,97410,2080,3270,6670,172230
Jul-1991,3620,18060,39170,129350,2170,7380,8560,208310
Aug-1991,2460,18610,35630,127160,2240,3860,9330,199310
Sep-1991,3640,17840,38130,123140,2570,4000,8040,197360
Oct-1991,3290,22610,38820,136330,2590,3510,8810,215970
Nov-1991,4620,23480,45180,136520,2310,1990,9770,223860
Dec-1991,2290,13340,75080,162720,1860,1970,9500,266750
Jan-1992,1410,13860,32630,124450,2980,10020,10740,196090
Feb-1992,2360,22290,39510,148630,1900,13500,10050,238250
Mar-1992,3360,24100,39050,135750,2300,3060,10170,217800
Apr-1992,2520,18870,42540,122370,2090,4700,10740,203830
May-1992,2900,21880,30100,105150,1860,2610,10730,175220
Jun-1992,1530,17690,31010,111350,1900,2920,10540,176940
Jul-1992,3300,18340,39860,131490,1900,10200,14170,219260
Aug-1992,2810,20020,31420,125830,1760,3280,13960,199080
Sep-1992,3840,19350,34520,116360,1410,2950,11580,190020
Oct-1992,3250,21970,40620,144770,1680,3930,13110,229320
Nov-1992,3380,25210,48770,160320,2150,1960,13250,255040
Dec-1992,1670,12750,79480,188940,1750,2200,15620,302400
Jan-1993,1640,15510,36730,160490,2460,10330,15600,242760
Feb-1993,3480,23230,39390,146830,2010,14870,15660,245460
Mar-1993,3160,25390,49020,160410,1910,2850,15210,257950
Apr-1993,4360,20920,42350,138750,1750,4360,13830,226320
May-1993,11050,22440,33620,129280,1560,2680,12770,213410
Jun-1993,2450,19480,32950,131770,1520,3330,13080,204580
Jul-1993,4330,20360,41290,148930,2160,12790,14760,244620
Aug-1993,2040,23100,38950,154880,2030,3720,15220,239930
Sep-1993,7000,22510,38880,134740,2320,3660,14920,224030
Oct-1993,4030,28240,43260,174330,2230,5400,9740,267220
Nov-1993,4420,31000,49190,185390,2060,2510,11340,285910
Dec-1993,2240,16200,84910,224360,2020,2220,12090,344040
Jan-1994,1620,19840,42230,158410,3570,13140,11710,250530
Feb-1994,3950,29110,43600,197140,2580,16600,11290,304280
Mar-1994,5890,31010,53810,198130,2410,3800,12350,307400
Apr-1994,5230,28060,41990,159660,3050,6600,10530,255130
May-1994,2860,28760,31860,136890,2100,3460,9020,214940
Jun-1994,3070,25870,38460,148020,1910,4570,9030,230940
Jul-1994,5000,27410,44460,176030,2850,15380,11390,282510
Aug-1994,3360,26680,36590,180890,2610,3930,11370,265430
Sep-1994,10960,25610,47920,147650,1380,4420,16040,253970
Oct-1994,10820,29750,55660,180590,1710,6380,16690,301590
Nov-1994,8750,32010,61950,188450,1500,2640,15690,311000
Dec-1994,3420,17810,106480,237110,1350,2460,15370,384010
Jan-1995,3070,21130,54810,189210,2350,12350,20830,303760
